AQI,AirQuality,CO,MonitoringStations,NO2,O31,O38,PM10,PM25,SO2,name,pollutants
162,中度污染,1.5,莞城梨川,106,9,87,132,123,19,东莞,细颗粒物(PM2.5)
64,良,0.7,巴音孟克林场办事处,16,77,89,77,19,7,鄂尔多斯,颗粒物(PM10)
76,良,0.6,华泰汽车城,28,74,98,102,12,8,鄂尔多斯,颗粒物(PM10)
64,良,0.6,奥林花园,18,77,84,78,12,7,鄂尔多斯,颗粒物(PM10)
180,中度污染,1.9,市环保局,60,33,45,250,136,22,东营,细颗粒物(PM2.5)
192,中度污染,1.8,耿井村,76,14,37,232,144,11,东营,细颗粒物(PM2.5)
107,轻度污染,1.5,湖北民院,54,8,14,105,80,13,恩施州,细颗粒物(PM2.5)
203,重度污染,2.1,开发区管委会,43,42,48,211,153,19,东营,细颗粒物(PM2.5)
102,轻度污染,1.9,州电力总公司,44,9,13,101,76,8,恩施州,细颗粒物(PM2.5)
186,中度污染,2.5,市政府,69,1,8,205,140,9,鄂州,细颗粒物(PM2.5)
190,中度污染,2.2,赵家坝,54,2,8,168,143,12,鄂州,细颗粒物(PM2.5)
211,重度污染,2.8,凡口开发区,80,4,8,222,161,16,鄂州,细颗粒物(PM2.5)
182,中度污染,2.0,沙万,90,22,73,173,137,16,防城港,细颗粒物(PM2.5)
183,中度污染,1.8,防城镇政府,41,68,83,163,138,18,防城港,细颗粒物(PM2.5)
147,轻度污染,1.4,大海花园,48,55,83,162,112,16,防城港,细颗粒物(PM2.5)
176,中度污染,1.4,湾梁,193,8,30,220,133,17,佛山,细颗粒物(PM2.5)
189,中度污染,1.5,华材职中,188,6,37,229,142,26,佛山,细颗粒物(PM2.5)
153,中度污染,1.5,南海气象局,179,5,34,178,117,15,佛山,细颗粒物(PM2.5)
94,良,1.5,顺德苏岗,124,7,43,101,70,14,佛山,细颗粒物(PM2.5)
58,良,0.9,沈抚新城,53,34,67,60,41,30,抚顺,细颗粒物(PM2.5)
72,良,0.7,望花区,38,46,69,_,52,23,抚顺,细颗粒物(PM2.5)
142,轻度污染,1.6,容桂街道办,106,30,49,147,108,17,佛山,细颗粒物(PM2.5)
132,轻度污染,1.4,高明孔堂,101,22,42,170,100,19,佛山,细颗粒物(PM2.5)
166,中度污染,1.6,三水监测站,139,7,48,207,126,28,佛山,细颗粒物(PM2.5)
148,轻度污染,1.6,三水云东海,127,3,60,168,113,41,佛山,细颗粒物(PM2.5)
133,轻度污染,1.5,顺城区,73,25,62,130,101,31,抚顺,细颗粒物(PM2.5)
60,良,0.9,东洲区,36,51,71,68,43,28,抚顺,细颗粒物(PM2.5)
61,良,0.8,新抚区,62,29,52,71,34,18,抚顺,颗粒物(PM10)
54,良,0.5,大伙房水库,18,66,77,58,25,10,抚顺,颗粒物(PM10)
35,优,0.4,工业园区,24,57,72,35,17,52,阜新,_
36,优,0.3,农业园区,13,55,70,28,25,16,阜新,_
36,优,0.5,长青街,23,54,69,36,21,31,阜新,_
64,良,0.6,东苑,36,39,72,55,46,34,阜新,细颗粒物(PM2.5)
63,良,0.9,玉龙新城,45,30,58,57,45,29,阜新,细颗粒物(PM2.5)
240,重度污染,1.7,市监测站,65,30,72,192,190,10,阜阳,细颗粒物(PM2.5)
218,重度污染,1.2,开发区,42,40,77,203,168,7,阜阳,细颗粒物(PM2.5)
218,重度污染,1.4,阜阳职业技术学院,40,58,80,174,168,9,阜阳,细颗粒物(PM2.5)
62,良,1.1,富春二小,33,79,64,65,44,7,富阳,细颗粒物(PM2.5)
51,良,0.7,鼓山,9,120,86,52,28,5,福州,颗粒物(PM10)
62,良,0.6,师大,35,75,57,73,41,5,福州,颗粒物(PM10)
62,良,0.8,五四北路,41,65,53,71,44,4,福州,细颗粒物(PM2.5)
60,良,0.9,杨桥西路,32,81,62,70,34,7,福州,颗粒物(PM10)
109,轻度污染,0.9,桐源党溪,27,59,79,100,82,11,抚州,细颗粒物(PM2.5)
63,良,0.7,紫阳,33,70,56,76,45,9,福州,"颗粒物(PM10)
细颗粒物(PM2.5)"
59,良,0.5,九龙,18,70,66,44,42,4,福州,细颗粒物(PM2.5)
139,轻度污染,0.9,市站,43,49,77,124,106,10,抚州,细颗粒物(PM2.5)
138,轻度污染,1.2,血防站,28,51,78,123,105,10,抚州,细颗粒物(PM2.5)
148,轻度污染,1.4,采茶剧团,31,50,72,130,113,9,抚州,细颗粒物(PM2.5)
149,轻度污染,1.1,医学分院,21,56,84,114,114,6,抚州,细颗粒物(PM2.5)
52,良,0.5,监测站,29,88,90,53,23,11,甘南州,颗粒物(PM10)
127,轻度污染,2.0,通天岩,19,100,116,119,96,14,赣州,细颗粒物(PM2.5)
139,轻度污染,2.0,地委,26,91,105,140,106,12,赣州,细颗粒物(PM2.5)
137,轻度污染,2.0,气象台,25,93,114,146,104,19,赣州,细颗粒物(PM2.5)
50,优,0.4,州环保局,9,47,41,50,19,5,甘孜藏族自治州,_
144,轻度污染,1.8,市图书馆,31,90,109,136,110,34,赣州,细颗粒物(PM2.5)
132,轻度污染,3.3,华坚鞋城,43,73,95,173,100,14,赣州,细颗粒物(PM2.5)
60,良,0.3,水桥子,11,79,81,70,38,19,甘孜州,颗粒物(PM10)
109,轻度污染,1.3,小平旧居,40,19,24,125,82,17,广安,细颗粒物(PM2.5)
113,轻度污染,1.6,市委,49,7,10,153,85,13,广安,细颗粒物(PM2.5)
123,轻度污染,1.9,友谊中学,58,2,11,145,93,14,广安,细颗粒物(PM2.5)
99,良,1.5,广电花园,61,10,9,147,63,11,广安,颗粒物(PM10)
58,良,0.4,州环保局,9,88,96,66,40,20,甘孜州,颗粒物(PM10)
180,中度污染,2.0,北辰小学,65,11,13,201,136,10,广安,细颗粒物(PM2.5)
54,良,0.9,黑石坡,18,92,81,58,21,14,广元,颗粒物(PM10)
