AQI,AirQuality,CO,MonitoringStations,NO2,O31,O38,PM10,PM25,SO2,name,pollutants
28,优,0.7,白市驿,24,5,5,23,19,7,重庆,_
43,优,1.3,州环境监测站,44,11,5,43,22,72,楚雄州,_
56,良,1.1,市经济开发区,33,8,5,61,34,25,楚雄州,颗粒物(PM10)
35,优,1.4,空港,45,6,8,35,23,13,重庆,_
20,优,1.1,新山村,31,6,5,16,14,7,重庆,_
34,优,0.9,礼嘉,34,6,5,34,19,7,重庆,_
19,优,1.0,蔡家,31,5,5,19,12,5,重庆,_
37,优,1.2,鱼新街,24,5,4,37,16,9,重庆,_
25,优,0.9,歇台子,29,6,5,17,17,8,重庆,_
22,优,0.7,龙井湾,29,10,6,16,15,8,重庆,_
54,良,0.6,老年大学,16,51,57,_,38,23,滁州,细颗粒物(PM2.5)
20,优,1.0,龙洲湾,27,5,4,20,13,9,重庆,_
38,优,1.2,上清寺,45,8,7,37,26,5,重庆,_
46,优,0.7,人大宾馆,34,34,44,44,32,2,滁州,_
68,良,0.9,监测站,37,28,34,_,49,9,滁州,细颗粒物(PM2.5)
51,良,0.9,甘井子,72,22,35,51,25,38,大连,颗粒物(PM10)
21,优,0.5,大理市环境监测站,12,66,50,20,3,3,大理州,_
30,优,1.1,大理古城,17,51,55,_,21,4,大理州,_
55,良,1.1,周水子,36,11,17,60,32,70,大连,颗粒物(PM10)
36,优,1.2,星海三站,72,19,23,35,25,74,大连,_
47,优,1.0,傅家庄,29,46,22,47,21,53,大连,_
55,良,1.1,七贤岭,84,14,44,60,30,24,大连,颗粒物(PM10)
52,良,1.1,旅顺,47,18,37,43,36,16,大连,细颗粒物(PM2.5)
39,优,0.9,金州,33,59,38,39,24,13,大连,_
38,优,1.2,开发区,68,25,10,38,25,39,大连,_
70,良,1.6,江湾东路,38,34,26,82,51,88,丹东,细颗粒物(PM2.5)
46,优,2.1,双D港,49,37,52,46,26,36,大连,_
65,良,1.2,临江后街,54,24,16,73,47,110,丹东,细颗粒物(PM2.5)
74,良,1.8,元宝山,44,14,9,74,54,63,丹东,细颗粒物(PM2.5)
79,良,1.8,民主桥,58,16,17,82,58,124,丹东,细颗粒物(PM2.5)
107,轻度污染,1.0,果树场,15,53,21,104,80,22,大同,细颗粒物(PM2.5)
79,良,1.2,云冈宾馆,15,37,10,80,58,22,大同,细颗粒物(PM2.5)
135,轻度污染,2.0,大同区,24,35,36,106,103,48,大庆,细颗粒物(PM2.5)
103,轻度污染,1.4,龙凤区,34,11,8,105,77,33,大庆,细颗粒物(PM2.5)
33,优,0.8,红岗区,40,23,25,32,23,47,大庆,_
70,良,1.8,大同大学,15,37,8,89,49,23,大同,颗粒物(PM10)
117,轻度污染,1.0,安家小村,14,53,25,102,88,12,大同,细颗粒物(PM2.5)
103,轻度污染,1.4,教育学院,17,30,8,121,77,22,大同,细颗粒物(PM2.5)
133,轻度污染,1.5,供排水公司,17,35,8,_,101,32,大同,细颗粒物(PM2.5)
58,良,0.8,萨尔图区,69,22,12,65,35,34,大庆,颗粒物(PM10)
64,良,1.0,让胡路区,54,20,25,78,25,11,大庆,颗粒物(PM10)
39,优,0.9,环保局,35,48,55,39,18,27,大兴安岭地区,_
24,优,0.6,公安局,5,75,75,16,10,7,大兴安岭地区,_
63,良,0.7,达州职业技术学院,22,59,75,_,45,14,达州,细颗粒物(PM2.5)
26,优,0.7,市环境监测站,37,27,35,26,11,8,达州,_
22,优,0.7,凤凰小区,26,69,76,20,12,11,达州,_
42,优,0.8,达县机关宾馆,43,45,58,42,19,5,达州,_
29,优,0.6,市政中心,49,69,84,28,20,7,达州,_
63,良,0.7,德宏州监测站,25,10,6,50,45,45,德宏州,细颗粒物(PM2.5)
72,良,1.7,芒市建设局,34,8,4,84,52,35,德宏州,细颗粒物(PM2.5)
58,良,1.0,东山公园,28,38,40,47,41,4,德阳,细颗粒物(PM2.5)
55,良,1.1,西小区,40,29,40,59,13,7,德阳,颗粒物(PM10)
50,优,1.0,市检察院,44,29,40,50,26,6,德阳,_
54,良,0.9,耐火材料厂,37,39,45,46,38,3,德阳,细颗粒物(PM2.5)
69,良,1.3,儿童乐园,24,45,22,72,50,14,德州,细颗粒物(PM2.5)
69,良,1.5,监理站,33,38,20,70,50,13,德州,细颗粒物(PM2.5)
67,良,1.1,九衢泉纯净水厂,27,44,23,72,48,15,德州,细颗粒物(PM2.5)
73,良,0.9,监测站（原粮食局）,23,52,68,68,53,45,定西,细颗粒物(PM2.5)
77,良,1.0,南峰招待所（原起重机厂）,26,56,68,96,56,33,定西,细颗粒物(PM2.5)
33,优,0.4,古城,4,83,82,33,6,14,迪庆州,_
29,优,1.1,南城元岭,42,9,4,_,20,9,东莞,_
20,优,1.0,南城西平,38,7,2,17,14,5,东莞,_
26,优,1.1,东城主山,29,7,4,_,18,6,东莞,_
30,优,1.0,莞城梨川,37,7,5,_,21,8,东莞,_
51,良,0.7,西城阳光环保公司,32,41,27,52,29,30,东营,颗粒物(PM10)
82,良,0.8,市环保局,47,27,37,114,34,24,东营,颗粒物(PM10)
65,良,0.5,耿井村,37,_,7,80,41,_,东营,颗粒物(PM10)
58,良,0.9,开发区管委会,35,35,38,65,31,22,东营,颗粒物(PM10)
31,优,0.7,综合楼,18,72,72,31,17,18,鄂尔多斯,_
28,优,0.9,巴音孟克林场办事处,11,73,71,28,16,12,鄂尔多斯,_
27,优,1.1,康泽苑,16,59,57,27,5,10,鄂尔多斯,_
26,优,0.7,华泰汽车城,15,74,73,20,18,10,鄂尔多斯,_
39,优,0.5,奥林花园,13,69,69,39,14,11,鄂尔多斯,_
20,优,1.3,湖北民院,23,13,14,18,14,6,恩施州,_
23,优,1.4,州电力总公司,16,18,17,18,16,7,恩施州,_
143,轻度污染,1.6,市政府,45,40,61,_,109,7,鄂州,细颗粒物(PM2.5)
170,中度污染,2.1,赵家坝,57,28,64,_,129,54,鄂州,细颗粒物(PM2.5)
160,中度污染,1.6,凡口开发区,28,51,67,141,122,6,鄂州,细颗粒物(PM2.5)
33,优,2.0,沙万,24,7,7,26,23,7,防城港,_
29,优,1.4,防城镇政府,22,8,6,_,20,7,防城港,_
28,优,1.7,大海花园,27,4,3,20,19,7,防城港,_
147,轻度污染,7.4,沈抚新城,70,21,18,163,112,173,抚顺,细颗粒物(PM2.5)
173,中度污染,1.4,望花区,63,12,6,148,131,33,抚顺,细颗粒物(PM2.5)
57,良,1.3,湾梁,28,_,_,64,30,4,佛山,颗粒物(PM10)
50,优,1.5,华材职中,20,3,2,50,31,15,佛山,_
31,优,1.4,南海气象局,35,1,_,31,20,4,佛山,_
21,优,1.2,顺德苏岗,35,2,_,21,10,3,佛山,_
110,轻度污染,1.2,顺城区,56,27,16,100,83,33,抚顺,细颗粒物(PM2.5)
82,良,1.0,东洲区,33,42,27,80,60,28,抚顺,细颗粒物(PM2.5)
145,轻度污染,1.4,新抚区,44,30,19,121,111,34,抚顺,细颗粒物(PM2.5)
84,良,1.1,大伙房水库,28,47,29,84,62,24,抚顺,细颗粒物(PM2.5)
20,优,1.2,容桂街道办,40,2,1,_,13,14,佛山,_
35,优,1.2,高明孔堂,36,_,_,27,24,13,佛山,_
35,优,1.4,三水监测站,34,7,5,_,24,12,佛山,_
43,优,1.1,三水云东海,31,4,2,30,30,9,佛山,_
223,重度污染,3.1,工业园区,62,19,15,219,173,175,阜新,细颗粒物(PM2.5)
138,轻度污染,1.4,农业园区,50,28,15,_,105,147,阜新,细颗粒物(PM2.5)
147,轻度污染,2.0,长青街,66,20,14,164,112,141,阜新,细颗粒物(PM2.5)
152,中度污染,1.8,东苑,63,16,11,253,106,146,阜新,颗粒物(PM10)
250,重度污染,2.5,玉龙新城,70,16,11,222,200,160,阜新,细颗粒物(PM2.5)
165,中度污染,1.2,市监测站,36,19,44,_,125,10,阜阳,细颗粒物(PM2.5)
135,轻度污染,1.2,阜阳职业技术学院,15,18,28,118,103,23,阜阳,细颗粒物(PM2.5)
57,良,1.2,富春二小,43,60,52,63,38,12,富阳,颗粒物(PM10)
22,优,0.4,鼓山,6,70,67,17,6,5,福州,_
22,优,0.8,师大,39,18,21,20,15,4,福州,_
26,优,0.9,五四北路,51,1,5,24,16,4,福州,_
22,优,0.9,杨桥西路,35,16,21,20,15,8,福州,_
33,优,1.1,紫阳,44,3,10,33,16,8,福州,_
55,良,1.1,桐源党溪,20,24,22,40,39,3,抚州,细颗粒物(PM2.5)
43,优,1.0,市站,33,23,20,32,30,7,抚州,_
65,良,1.8,监测站,32,56,62,78,47,12,甘南州,细颗粒物(PM2.5)
29,优,0.8,九龙,44,13,9,29,20,4,福州,_
36,优,0.8,血防站,25,23,21,_,25,7,抚州,_
55,良,1.3,采茶剧团,16,18,17,45,39,7,抚州,细颗粒物(PM2.5)
40,优,1.2,医学分院,25,26,23,32,28,4,抚州,_
18,优,1.5,通天岩,20,15,14,14,12,3,赣州,_
29,优,2.0,地委,30,7,6,_,20,7,赣州,_
23,优,2.1,气象台,22,7,7,17,16,14,赣州,_
18,优,1.6,市图书馆,29,9,8,_,12,5,赣州,_
26,优,1.9,华坚鞋城,33,5,5,23,18,13,赣州,_
50,优,0.4,州环保局,9,47,41,50,19,5,甘孜藏族自治州,_
46,优,0.9,水桥子,24,32,38,_,32,22,甘孜州,_
42,优,0.6,州环保局,8,56,62,_,29,1,甘孜州,_
25,优,0.5,小平旧居,10,54,52,25,17,7,广安,_
29,优,0.7,市委,20,44,46,29,18,10,广安,_
37,优,0.7,友谊中学,20,38,42,37,17,10,广安,_
26,优,0.7,广电花园,24,34,41,26,15,6,广安,_
23,优,0.8,北辰小学,15,38,42,23,11,10,广安,_
45,优,1.0,黑石坡,9,71,68,45,8,14,广元,_
60,良,1.0,老城,30,61,62,69,22,22,广元,颗粒物(PM10)
38,优,1.0,南坝,25,53,57,38,11,16,广元,_
54,良,1.3,监测站,13,65,65,57,36,15,广元,颗粒物(PM10)
33,优,1.5,广雅中学,51,3,2,_,23,8,广州,_
25,优,1.3,市五中,40,3,2,24,17,7,广州,_
20,优,1.1,广东商学院,40,3,2,_,11,4,广州,_
20,优,0.8,市八十六中,40,5,2,_,12,1,广州,_
28,优,1.3,番禺中学,42,5,3,28,19,6,广州,_
20,优,1.1,花都师范,40,6,4,_,11,2,广州,_
9,优,0.8,德智高中,18,10,13,_,4,2,贵港,_
19,优,1.2,市监测站,38,4,3,_,13,8,广州,_
15,优,1.2,九龙镇镇龙,30,11,13,12,9,7,广州,_
18,优,1.0,麓湖,36,3,3,11,11,7,广州,_
13,优,0.9,江南子站　,25,1,3,9,8,8,贵港,_
15,优,1.2,贵城子站,26,3,7,_,10,12,贵港,_
10,优,1.0,荷城子站,19,7,12,7,6,5,贵港,_
12,优,1.0,电子科大尧山校区,13,19,14,8,8,6,桂林,_
13,优,1.1,帽峰山森林公园,26,11,15,_,6,6,广州,_
21,优,1.4,体育西,39,2,2,21,8,9,广州,_
13,优,1.1,监测站,18,11,9,10,9,5,桂林,_
15,优,1.2,龙隐路小学,13,13,10,_,10,17,桂林,_
20,优,2.0,八中,20,11,9,_,11,19,桂林,_
14,优,0.8,马鞍山,14,20,16,14,9,10,贵阳,_
27,优,0.8,市环保站,21,17,15,27,_,10,贵阳,_
20,优,1.0,太慈桥,24,13,10,20,7,15,贵阳,_
36,优,0.7,桐木岭,12,18,12,_,25,11,贵阳,_
22,优,0.8,燕子冲,10,24,21,22,11,12,贵阳,_
