AQI,AirQuality,CO,MonitoringStations,NO2,O31,O38,PM10,PM25,SO2,name,pollutants
33,优,0.6,顺城区,41,51,53,_,23,19,抚顺,_
73,良,0.6,东洲区,41,45,47,_,53,24,抚顺,细颗粒物(PM2.5)
57,良,0.8,新抚区,64,31,43,63,32,43,抚顺,颗粒物(PM10)
38,优,0.4,大伙房水库,27,59,60,26,26,14,抚顺,_
45,优,0.6,市监测站,25,97,88,45,30,4,阜阳,_
47,优,0.4,开发区,25,104,86,47,27,18,阜阳,_
100,良,0.3,工业园区,8,70,66,150,11,16,阜新,颗粒物(PM10)
45,优,0.5,阜阳职业技术学院,17,116,104,45,27,6,阜阳,_
80,良,0.3,农业园区,2,66,63,109,11,7,阜新,颗粒物(PM10)
103,轻度污染,0.2,长青街,13,57,61,156,16,14,阜新,颗粒物(PM10)
118,轻度污染,0.4,东苑,6,72,66,185,12,4,阜新,颗粒物(PM10)
96,良,0.3,玉龙新城,11,71,67,141,10,4,阜新,颗粒物(PM10)
33,优,0.5,富春二小,13,102,104,33,14,10,富阳,_
43,优,0.6,鼓山,18,72,50,43,27,7,福州,_
59,良,0.8,师大,35,59,68,67,34,6,福州,颗粒物(PM10)
50,优,0.6,五四北路,27,64,57,50,27,6,福州,_
46,优,0.7,杨桥西路,17,72,67,46,23,9,福州,_
31,优,1.0,监测站,16,99,74,18,9,3,甘南州,_
52,良,0.6,桐源党溪,8,96,71,53,4,5,抚州,颗粒物(PM10)
45,优,0.6,紫阳,23,62,55,45,30,11,福州,_
36,优,0.8,九龙,15,81,78,35,25,8,福州,_
50,优,_,市站,29,83,71,50,35,19,抚州,_
46,优,0.4,血防站,16,_,67,45,32,22,抚州,_
52,良,0.8,采茶剧团,14,85,65,53,14,19,抚州,颗粒物(PM10)
50,优,0.5,医学分院,9,99,74,47,35,27,抚州,_
50,优,0.4,州环保局,9,47,41,50,19,5,甘孜藏族自治州,_
52,良,1.2,通天岩,8,110,97,51,36,4,赣州,细颗粒物(PM2.5)
72,良,1.7,地委,15,90,82,52,52,15,赣州,细颗粒物(PM2.5)
70,良,1.6,气象台,12,93,85,64,51,14,赣州,细颗粒物(PM2.5)
62,良,1.3,市图书馆,14,93,84,51,44,4,赣州,细颗粒物(PM2.5)
57,良,1.4,华坚鞋城,21,89,88,62,40,2,赣州,细颗粒物(PM2.5)
64,良,0.6,水桥子,11,58,45,77,26,22,甘孜州,颗粒物(PM10)
53,良,0.6,州环保局,1,111,92,56,28,4,甘孜州,颗粒物(PM10)
66,良,0.5,小平旧居,14,122,80,82,33,20,广安,颗粒物(PM10)
87,良,0.7,市委,23,110,66,123,34,14,广安,颗粒物(PM10)
68,良,0.7,友谊中学,17,108,59,86,48,13,广安,颗粒物(PM10)
70,良,0.6,广电花园,19,106,58,89,31,12,广安,颗粒物(PM10)
77,良,0.6,北辰小学,17,106,60,85,56,13,广安,细颗粒物(PM2.5)
48,优,0.7,黑石坡,22,85,59,48,16,11,广元,_
65,良,0.7,老城,36,78,43,80,8,17,广元,颗粒物(PM10)
40,优,0.7,南坝,31,75,46,40,11,18,广元,_
58,良,0.9,监测站,27,84,38,66,28,10,广元,颗粒物(PM10)
73,良,1.3,广雅中学,68,21,30,83,53,13,广州,细颗粒物(PM2.5)
72,良,1.2,市五中,56,29,42,62,52,13,广州,细颗粒物(PM2.5)
43,优,0.6,德智高中,5,106,91,35,30,9,贵港,_
54,良,0.6,江南子站　,10,99,80,57,32,12,贵港,颗粒物(PM10)
79,良,0.7,贵城子站,16,_,71,108,37,13,贵港,颗粒物(PM10)
53,良,0.6,荷城子站,20,75,63,56,34,_,贵港,颗粒物(PM10)
57,良,0.9,广东商学院,40,46,47,54,40,8,广州,细颗粒物(PM2.5)
62,良,0.9,市八十六中,38,45,48,63,44,8,广州,细颗粒物(PM2.5)
68,良,0.9,番禺中学,46,48,48,54,49,12,广州,细颗粒物(PM2.5)
58,良,0.8,花都师范,29,53,56,63,41,8,广州,细颗粒物(PM2.5)
68,良,1.3,市监测站,59,25,30,57,49,13,广州,细颗粒物(PM2.5)
67,良,1.1,九龙镇镇龙,15,59,62,_,48,11,广州,细颗粒物(PM2.5)
42,优,0.6,电子科大尧山校区,6,108,100,34,29,9,桂林,_
64,良,1.2,麓湖,54,24,44,58,46,12,广州,细颗粒物(PM2.5)
60,良,1.3,帽峰山森林公园,13,70,64,50,43,13,广州,细颗粒物(PM2.5)
42,优,0.6,监测站,24,84,88,_,29,8,桂林,_
42,优,0.7,龙隐路小学,12,102,99,_,29,17,桂林,_
39,优,0.6,玛沁县大武镇,12,123,96,_,26,18,果洛州,_
67,良,1.2,体育西,57,28,35,60,48,14,广州,细颗粒物(PM2.5)
83,良,0.5,马园,6,91,87,115,11,_,固原,颗粒物(PM10)
69,良,0.8,马鞍山,17,74,70,71,50,18,贵阳,细颗粒物(PM2.5)
66,良,0.8,市环保站,32,54,52,82,46,23,贵阳,颗粒物(PM10)
71,良,1.0,太慈桥,34,58,56,92,46,29,贵阳,颗粒物(PM10)
86,良,0.2,监测站,7,96,92,122,11,4,固原,颗粒物(PM10)
77,良,0.4,新区,8,93,88,103,11,4,固原,颗粒物(PM10)
69,良,0.7,桐木岭,15,79,70,65,50,16,贵阳,细颗粒物(PM2.5)
77,良,0.8,燕子冲,15,73,65,87,56,21,贵阳,细颗粒物(PM2.5)
80,良,0.7,碧云窝,28,63,52,102,59,35,贵阳,细颗粒物(PM2.5)
35,优,0.6,岭北,16,78,80,_,24,17,哈尔滨,_
37,优,0.5,松北商大,30,103,115,37,25,4,哈尔滨,_
79,良,_,中院村,_,57,49,77,58,31,贵阳,细颗粒物(PM2.5)
67,良,0.8,红边门,30,64,62,73,48,25,贵阳,细颗粒物(PM2.5)
